"id","name","default_code","categ_id/id","type","tracking","use_expiration_date","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.62c63133-053e-52f7-b0cc-4bcb502ac55d","BANDAGES COTTON CREPE RIDGED/WRINKLED ELASTIC -15CM X 4.5M BP","NM01BAN007","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","75.00","60.00"
"init.8d860756-c455-5563-a9de-60133b9b0f0e","BANDAGES COTTON L/WOVEN BP- 10CM X 4.5M","NM01BAN001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","207.00","165.60"
"init.dfb488f3-5ec5-52b1-bcda-5efc00fd1ac3","BANDAGES COTTON L/WOVEN BP - 15CM X 4.5M","NM01BAN003","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","191.00","152.80"
"init.5ace3908-0951-5e61-9091-d0d4e2d0c536","BANDAGES COTTON L/WOVEN BP - 5CM X 4.5M BP","NM01BAN016","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","216.00","172.80"
"init.b8cff421-c5ec-50d4-9c5e-5a2f3193dda8","BANDAGES COTTON L/WOVEN BP - 7.5CM X 4.5M","NM01BAN002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","128.00","102.40"
"init.19a3b6a1-0e93-5ad2-b13e-dbc9ddb247b6","BANDAGES ELASTIC SKIN ADHESIVE POROUS PLASTER-7.5CMX4.5M BP","NM01BAN005","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","323.00","258.40"
"init.cc43b73c-2806-5113-b226-75b6fb8143c9","BANDAGES ELASTIC SKIN ADHESIVE POROUS PLASTER BP-10CMX4.5M","NM01BAN004","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","323.00","258.40"
"init.cbcf5a1b-a67d-5d66-91ff-4a57daf937fd","BANDAGES ELASTIC SKIN ADHESIVE POROUS PLASTERS BP - 15CM (6'') X 4.5M","NM01BAN042","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","664.00","531.20"
"init.75ec10e3-b826-5ec2-b7e4-5b4a77b7b29b","BANDAGES PLASTER OF PARIS - 15 CM X 2.70M (GYPSONA) S","NM01PLP020","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","650.00","520.00"
"init.ef3c3ad5-aa4d-5361-a442-6b50d3b507a8","BANDAGES PLASTER OF PARIS - 20 CM X 2.70M (GYPSONA) S","NM01PLP018","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","800.00","640.00"
"init.55e19a40-0878-5535-b1db-671d465e98de","BLOOD GIVING SETS DOUBLE CHAMBER","NM09SET006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2190.00","1752.00"
"init.15de26cc-2ff9-5250-b9bf-1624bc89e8e1","CATHETER FOLLEYS' 16FG 30MLS-3WAYS SILICONE COATED","NM02CAT013","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","66.00","52.80"
