"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.6095ced8-08a9-5bff-96ed-24f7060dcac6","DRYSTAR DT5B FILMS (AGFA) FOR DIRECT DIGITAL THERMAL PRINTING IN CT SIZE 25*30CM","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","19800.00","15840.00"
"init.a2293cdc-2faf-5805-8292-975f35ddf45d","DRYSTAR DT5 B FILMS FOR DIRECT DIGITAL THERMAL PRINTING FOR USE IN COMPUTERISED TOMOGRAPHY (CT) IN MEDICAL IMAGING SIZE 35 X 43 CM.","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","32760.00","26208.00"
"init.484ac395-0c8c-5077-8288-8559d9b7b412","DRYSTAR DT5B FILMS FOR DIRECT DIGITAL THERMAL PRINTING IN CT SIZE 20*25CM","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","14520.00","11616.00"
"init.c8220bb5-e925-5a0e-9da9-bc3f43b5a6e4","FUJI DI-HL LASER FILM 10 X 12 INCHES","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","23400.00","18720.00"
"init.af7acb19-5b74-5835-935c-4e683dd54f4d","FUJI DI-HL LASER FILM 8 X 10 INCHES","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","16800.00","13440.00"
"init.71118f65-09e1-5bef-bfad-2d280b922286","SOD AMID / MEGLUMINE AMIDOTRIZOATE-370MG/ML","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1600.00","1280.00"
"init.8407c48e-897b-5881-9101-d9796c357991","THERMAL PRINTING PAPER 110MM X 18METRES","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1700.00","1360.00"
