"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price","x_concept_source","x_concept_code","x_drug_strength"
"init.9dcd95c4-8d06-5baa-a53b-f46e4454a61c","ONDANSETRON INJECTION 2MG/ML 2ML AMPOULE","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","20.00","16.00","local","","2MG/ML"
"init.c377f0c4-8f83-5021-88cf-fbee87e84508","ONDANSETRON TABLET 4MG (AS HYDROCHLORIDE) AS DISINTEGRATING TABLET","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","29.00","23.20","local","","4MG"
"init.3399e318-408c-5168-b038-72c24fa9b04c","RITUXIMAB SOLUTION FOR INJECTION 10MG/ML10 ML VIAL","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","21300.00","17040.00","local","","10MG"
"init.370e8794-88e2-5e00-a9f1-1eac03c30cc8","RITUXIMAB SOLUTION FOR INJECTION 10 MG/ML 50 ML VIAL (500MG)","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","52800.00","42240.00","local","","10MG/ML"
"init.f1c0e7fc-713f-596f-bdfd-efa6be3c4a3c","TRASTUZUMAB INJECTION 600MG (SUBCUTANEOUS)","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","30800.00","24640.00","local","","600MG"
