"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.861186a3-7b0f-578a-963a-2b4632f161ae","DIGITAL FOETAL DOPPLER","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","16100.00","12880.00"
"init.1fe2484d-4628-5e49-bb97-b9251d802053","ETERNAL FIXATOR INSTRUMENTS SET","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","155000.00","124000.00"
"init.e22c36c7-e534-550a-8370-e8dfd1e08803","IM UNIVERSAL FEMUR NAILSINSTRUMENT SET","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","400000.00","320000.00"
"init.fe755459-7a89-5226-b069-e7aca975ed50","IM UNIVERSAL TIBIA NAILS INSTRUMENT SET","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","400000.00","320000.00"
"init.f16994ea-3f9f-5e5a-8eb4-18bcf38bf7e6","LARGE FRAGMENT INSTRUMENTS SET","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","130000.00","104000.00"
"init.f7b5dfda-eddc-5b54-904c-65303f0a92da","OSCILLATING SAW WITH ASSORTED SAW BLADES","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","105000.00","84000.00"
"init.3a8c098d-423c-5874-a247-bbba3a2fdbfb","SUCTION MACHINE ELECTRICAL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","59550.00","47640.00"
