"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.bcddc23e-969b-561e-9cb4-e06e35b1c2d6","CHLORINE POWDER 4GM SATCHETS","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","15.00","12.00"
"init.06d57b20-42a8-5fab-ade3-24169d19d56d","FACE SHIELD","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","955.00","764.00"
"init.023de4a7-0cf5-57d5-8e2a-a66ff83cddc3","FOOD SAMPLING GLOVES","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","450.00","360.00"
"init.91c1dd82-defe-5b46-bb22-5dbf71b7015e","GLUTARALDEHYDE 2% SOLUTION","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","436.00","348.80"
"init.59e3d3c6-0b02-538a-b73e-f434f59f07bd","SODIUM HYPOCHLORITE SOLUTION 4-6% CHLORINE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","570.00","456.00"
"init.9274148d-0862-5aad-ad4c-1e1af455fce9","SODIUM HYPOCHLORITE SOLUTION(TBCIDE) 5-5.6%W/V","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","595.00","476.00"
