"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price","x_concept_source","x_concept_code","x_drug_strength"
"init.08775919-7aba-559e-893a-36e62556c90d","CO-PACK OF 4 SATCHETS OF LOW OSMOLARITY ORS (500ML FORMULATION)+10 TABLETS OF DISPERSIBLE ZINC SULPHATE TABLETS 20MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","67.00","6.70","local","","500ML"
"init.50fc62d9-dea7-596b-9174-b9f7f0ba613a","INSULIN SYRINGES (100) 1ML WITH NEEDLE 031 X 6MM","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2000.00","20.00","local","","1ML"
"init.a618552b-d7d5-5eb6-b188-9c2746b81063","SYRINGES2PC-5ML RUP WITH G 21 NEEDLE X 112","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","740.00","7.40","local","","5ML"
"init.2581151a-27ff-5837-85ca-d042528e10ac","SYRINGES 2PC-2ML RUP WITH G 23 NEEDLE X 1","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","635.00","6.35","local","","2ML"
"init.4d609db9-4193-5cd4-873b-30408c427f9a","AUTOCLAVING TAPE. ½ (19MM X 50M)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","320.00","320.00","local","",""
"init.7e185392-d5d8-542b-ba5a-fe4e8e9d40dc","BANDAGES COTTON WOVEN BP-5CM 4.5","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","216.00","18.00","local","",""
"init.ec7cc64d-7db4-5ba2-abd0-a686bb9efcae","HAEMOGLOBIN MICROCUVETTES-DIASPECT","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","14600.00","73.00","local","",""
"init.12591bad-659f-5d81-9006-9c9954ab3beb","MICRO PIPPETTE TIPS (YELLOW120 UL-20UL - 200 UL","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","730.00","0.73","local","",""
"init.84600d28-7c8d-56db-adcb-3f713b6ddac5","SUTURE NYLON NO 203/8 CIRCLE 45MM 100CM RCN","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1300.00","108.33","local","",""
"init.ef4c902c-e715-5a96-bd91-2f2c80c18164","SYRINGES A D. FIXED DOSE OF 005 ML WITH 27 G NEEDLE FOR B.C.G","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1550.00","15.50","local","","005ML"
