"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.2efc8edb-56ff-5d45-af5e-1862a9ce3be1","GLUCOMETER STRIPS PLUS ONE FREE OF CHARGE GLUCOMETER (I-SENS BRAND).","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1150.00","920.00"
"init.ca3fcb9c-5a50-59db-b4e6-11346627a791","GLYCEROL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1900.00","1520.00"
"init.add69865-7707-5010-bbe0-3ffd238e7ed9","HAEMOGLOBIN MICROCUVETTES - DIASPECT","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","14600.00","11680.00"
"init.926fddad-6b3a-5024-8559-79bb7d81a80d","HAEMOGLOBIN MICROCUVETTES - HEMOCONTROL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","14500.00","11600.00"
"init.78a7f303-ef5b-5a9d-bb94-9851ae737a0d","HBA1C (GLYCATED HAEMOGLOBIN) ANALYZER - SD BIOSENSOR","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","135000.00","108000.00"
"init.664363fb-3188-55a8-97f1-4c7bb9495312","HBA1C (GLYCATED HAEMOGLOBIN) CUVETTES - SD BIOSENSOR","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","8350.00","6680.00"
"init.939e2231-c0e2-53ca-aa06-db68e22d1773","HELICOBACTER PYLORI RAPID KIT (ANTIGEN)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2300.00","1840.00"
"init.b39b441f-b62d-5542-9adb-b0aac99d2ca9","HEMOLYZER 3NG","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","86925.00","69540.00"
"init.c3ce1bcf-de17-5612-80c8-60d24ac59936","HEMOLYZER 5NG (CLOSED MODE)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","112860.00","90288.00"
"init.c85733d1-06df-5b95-a7e5-a8c9361ee3e0","HEMOLYZER 5NG (OPEN MODE)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","70600.00","56480.00"
"init.db43c2a1-ad08-5030-a016-e995aeb729c9","HEMOLYZER HYPOCLEANER","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","8425.00","6740.00"
