"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.20d557b5-eb52-5369-bfc4-cd2cb849a483","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 26MMST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","394.00","315.20"
"init.644f51af-8da5-55ff-b609-3d08f21b96c9","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 28MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","436.00","348.80"
"init.b78cb658-329f-5c3c-b368-b927b390a06a","4.0 MM CANCELLOUS BONE SCREW½ THREADED LENGTH 30MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","436.00","348.80"
"init.acc77ca3-2ff4-5efb-8fdf-013e3486ecab","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 32MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","436.00","348.80"
"init.ebb36201-c165-552f-bfe9-ec4e47838b10","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 35MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","436.00","348.80"
"init.b0e5e950-09c5-5683-b42c-1baf8eadc63e","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 40MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.41318cec-c443-5bbe-bca7-7f8387ff9d03","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 55MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","471.00","376.80"
"init.8f7011b4-4082-58ef-a049-64a3c1bfd001","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH60MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","362.00","289.60"
"init.9db5ed04-5814-5fc3-ba73-f66aa7479267","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 16MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","303.00","242.40"
"init.0f53981e-4f61-50ec-901f-830668387067","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 18MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","303.00","242.40"
"init.09fea112-2ea0-56fd-88bf-a3e56d7b812b","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 20MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","303.00","242.40"
"init.fb198c09-ab36-5ce7-9239-abdac9a0bb70","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 22MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","303.00","242.40"
"init.03dd3b59-9ae2-54f4-9761-c6ae64c301b3","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 24MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","303.00","242.40"
"init.7ec80897-9f8f-51ac-bd76-09cf9e9bc62a","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 26MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","303.00","242.40"
"init.f0938531-83c2-5af1-8d31-78934b9d5868","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 28MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.5eae9472-18bb-5f3f-9528-45ef6819e608","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 30MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.6b2c59aa-9253-556b-a4ad-c486dd7a0aed","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 35MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.cbe0c50c-8147-5855-a043-cab94ba0a2e9","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 45MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.ad212b0c-8344-5a95-ac4b-12cc80c1c81f","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 50MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.96282671-56e3-5f0b-8ac4-60c6253b876d","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 55MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","362.00","289.60"
"init.94c064fd-29e4-50c7-a2ba-f79f246aefde","4.0 MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 60MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","362.00","289.60"
"init.36ac47ec-7970-532b-95a4-6c3c07b3cedb","4.5MM CORTEX SCREW LENGTH 14MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","265.00","212.00"
"init.a1a56d16-9569-5a0d-92aa-f8fc7ecbcaf3","4.5MM CORTEX SCREW LENGTH 16MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","265.00","212.00"
"init.e9556106-dfa6-563f-8d0d-c149addb84e5","4.5MM CORTEX SCREW LENGTH 18MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","265.00","212.00"
"init.efac7770-bf40-5c6d-a942-202dc739aea3","4.5MM CORTEX SCREW LENGTH 20MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","265.00","212.00"
"init.43ebb686-3b69-567d-bbe7-e8beb3c83b45","4.5MM CORTEX SCREW LENGTH 22MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","265.00","212.00"
"init.7b5fbed4-503a-5592-bcbe-582b5b1236d3","4.5MM CORTEX SCREW LENGTH 48MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","277.00","221.60"
"init.72d5d50e-c805-5c47-8198-7c43ae096fab","4.5MM CORTEX SCREW LENGTH 50MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","277.00","221.60"
