odoo_id,odoo_name,csv_file,odoo_lst_price,odoo_default_code
init.431427c3-5d9f-4910-ac44-67a4b81449e3,TRIMETHOPRIM 400mg AND SULFAMETHOXAZOLE 80mg TAB (COTRIMOXAZOLE 480mg TAB),drugs.csv,1.00,
init.36d0b180-345f-4568-82e0-da234b9a5639,PYRIDOXINE 50mg TAB,drugs.csv,1.00,
init.f51495cc-7d5b-49a3-96f4-0577f17192a2,ARTEMETHER 20mg AND LUMEFANTRINE 120mg TAB (COARTEM),drugs.csv,1.00,
init.eeeba224-f06c-454a-be79-af02383e4ce2,ARTEMETHER 40mg AND LUMEFANTRINE 240mg TAB (COARTEM),drugs.csv,1.00,
init.d90c28b2-1645-4237-af76-f55f4d5b58a1,ARTEMETHER 80mg AND LUMEFANTRINE 480mg TAB (COARTEM),drugs.csv,1.00,
init.be1dfb55-00cf-4582-bdaa-4e4fe0c1c5c7,FOLIC ACID 5mg TAB,drugs.csv,1.00,
init.c3d46eda-7d39-4b63-89f4-aa08f9413197,ASPIRIN 300mg TAB,drugs.csv,1.00,
init.3c4c91a9-db2d-4477-a48a-a8229a59daa6,DICLOFENAC 50mg TAB,drugs.csv,1.00,
init.773a0545-e9e7-49e0-b241-4ae5313ceaa1,PARACETAMOL 120mg/5ml SUSP,drugs.csv,1.00,
init.63fd78c8-57ca-4a6d-bcec-245e184670f7,TRAMADOL 50mg CAP,drugs.csv,1.00,
init.962409da-b71f-4795-9bab-a4737f8d8f7a,PREDNISONE 5mg TAB,drugs.csv,1.00,
init.9a59a36b-d1f7-4714-8dd8-97dd4d3f821a,AMOXICILLIN 250mg CAP,drugs.csv,1.00,
init.43abe55e-d9e0-490c-9b0e-3321b6cead75,AMOXICILLIN 125mg/5ml SUSP,drugs.csv,1.00,
init.e0f98fc6-e770-4817-94a8-4915893bb531,ZIDOVUDINE 300mg TAB,drugs.csv,1.00,
init.94c3e48c-982c-4ddf-98bb-9618baf3a53b,ERYTHROMYCIN 125mg/5ml SUSP,drugs.csv,1.00,
init.6fc6a2eb-e7ed-42b3-8a57-6decbcc72231,METRONIDAZOLE 200mg TAB,drugs.csv,1.00,
init.5347d982-9137-4829-b77b-864a07436508,METFORMIN 500mg TAB,drugs.csv,1.00,
init.4a37b4e7-3970-4a5b-9973-97578856d457,GLIBENCLAMIDE 5mg TAB,drugs.csv,1.00,
init.d48599c7-22cd-4391-8ee8-1cc8cefde9e5,CHLORPHENAMINE 4mg TAB,drugs.csv,1.00,
init.0e3f486b-1dad-43e8-96ec-c3858ae3a5af,ATENOLOL 50mg TAB,drugs.csv,1.00,
init.c28c7ddd-667c-48bc-9f3a-688c086f8018,ENALAPRIL 5mg TAB,drugs.csv,1.00,
init.b0e484db-ab3c-4851-9cb6-56bfaf2348a5,FUROSEMIDE 40mg TAB,drugs.csv,1.00,
init.c99da14b-d5d5-4864-bd45-b969c376199c,METHYLDOPA 250mg TAB,drugs.csv,1.00,
init.1580641e-e04f-4681-9bf2-e25c1ff43af4,AMITRIPTYLINE 25mg TAB,drugs.csv,1.00,
init.1e26e5aa-8d84-49d9-8360-6a0584168a8c,CARBAMAZEPINE 200mg TAB,drugs.csv,1.00,
init.75f58515-788b-484e-846d-4cd1e20d984e,DIAZEPAM 5mg TAB,drugs.csv,1.00,
init.a2b143e0-07bb-40fa-baa9-bd7774dde84e,PHENOBARBITONE 30mg TAB,drugs.csv,1.00,
