"id","name","usage","location_id/id","company_id/id"
"init.ampath_wh_view","AMPATH Kenya / Main Warehouse","view","stock.stock_location_locations","base.main_company"
"init.ampath_wh_lot","AMPATH Kenya Main Stock","internal","init.ampath_wh_view","base.main_company"
"init.ampath_wh_in","AMPATH Kenya Main Input","internal","init.ampath_wh_view","base.main_company"
"init.ampath_wh_out","AMPATH Kenya Main Output","internal","init.ampath_wh_view","base.main_company"
"init.ampath_wh_pack","AMPATH Kenya Main Packing","internal","init.ampath_wh_view","base.main_company"
